Gene_Locus_ID,Gene_Symbol,Gene_Function,Uniprot_ID,GO_Terms,eggNOG,COG_ID,COG_Category,KEGG_Pathway
PA0380,,(RefSeq) sulfur carrier protein ThiS,Q9I6B5,NA,NA,COG2104,Thiamine biosynthesis,Sulfur relay system
PA0381,thiG,(RefSeq) thiazole synthase,Q9I6B4,cytoplasm [GO:0005737]; thiazole synthase activity [GO:1990107]; thiamine diphosphate biosynthetic process [GO:0009229],NA,COG2022,Thiamine biosynthesis,"Metabolic pathways, Thiamine metabolism, Biosynthesis of cofactors"
PA0382,NA,NA,Q9I6B3,tRNA methyltransferase complex [GO:0043527]; tRNA (guanine-N7-)-methyltransferase activity [GO:0008176]; RNA (guanine-N7)-methylation [GO:0036265]; tRNA methylation [GO:0030488],NA,NA,NA,NA
PA0383,NA,NA,Q9I6B2,NA,NA,NA,NA,NA
PA0384,NA,NA,Q9I6B1,NA,NA,NA,NA,NA
PA0385,NA,NA,Q9I6B0,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0386,NA,NA,Q9I6A9,"cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; coproporphyrinogen oxidase activity [GO:0004109]; metal ion binding [GO:0046872]; porphyrin-containing compound biosynthetic process [GO:0006779]",NA,COG0635,Heme biosynthesis,NA
PA0387,,(RefSeq) non-canonical purine NTP pyrophosphatase,Q9I6A8,cytoplasm [GO:0005737]; cytosol [GO:0005829]; dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleoside-triphosphatase activity [GO:0017111]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; nucleotide binding [GO:0000166]; XTP diphosphatase activity [GO:0036222]; nucleoside triphosphate catabolic process [GO:0009143]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146],NA,NA,NA,"Purine metabolism, Metabolic pathways, Nucleotide metabolism"
PA0388,NA,NA,Q9I6A7,NA,NA,NA,NA,NA
PA0389,NA,NA,Q9I6A6,methyltransferase activity [GO:0008168],NA,COG2226,Biotin biosynthesis,NA
PA0390,metX,(RefSeq) homoserine O-acetyltransferase,P57714,cytoplasm [GO:0005737]; homoserine O-acetyltransferase activity [GO:0004414]; homoserine O-succinyltransferase activity [GO:0008899]; homoserine metabolic process [GO:0009092]; methionine biosynthetic process [GO:0009086],NA,COG2021,Methionine biosynthesis,"Sulfur metabolism, Biosynthesis of amino acids, Biosynthesis of secondary metabolites, Cysteine and methionine metabolism, Metabolic pathways"
PA0391,NA,NA,Q9I6A4,NA,NA,COG0699,,NA
PA0392,NA,NA,P25254,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,NA,NA
PA0393,proC,(RefSeq) pyrroline-5-carboxylate reductase,P22008,cytoplasm [GO:0005737]; pyrroline-5-carboxylate reductase activity [GO:0004735]; L-proline biosynthetic process [GO:0055129]; proline biosynthetic process [GO:0006561],NA,NA,NA,"Arginine and proline metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
PA0394,NA,NA,P24562,pyridoxal phosphate binding [GO:0030170],NA,COG0325,,NA
PA0395,NA,NA,P24559,cytoplasm [GO:0005737]; type IV pilus [GO:0044096]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; pilus retraction [GO:0043108]; type IV pilus-dependent motility [GO:0043107],NA,COG2805,,NA
PA0396,NA,NA,G3XCX3,"cytoplasm [GO:0005737]; ATP binding [GO:0005524]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]; type IV pilus-dependent motility [GO:0043107]",NA,NA,NA,NA
PA0397,NA,NA,Q9I6A3,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; zinc ion transmembrane transporter activity [GO:0005385]; zinc ion transmembrane transport [GO:0071577],NA,COG1230,,NA
PA0398,NA,NA,Q9I6A2,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0399,,(RefSeq) cystathionine beta-synthase,Q9I6A1,cytoplasm [GO:0005737]; cysteine synthase activity [GO:0004124]; L-cysteine desulfhydrase activity [GO:0080146]; cysteine biosynthetic process [GO:0019344]; cysteine biosynthetic process from serine [GO:0006535],NA,COG0031,Cysteine biosynthesis,"Biosynthesis of secondary metabolites, Biosynthesis of amino acids, Metabolic pathways, Cysteine and methionine metabolism, Glycine, serine and threonine metabolism"
PA0400,,(RefSeq) cystathionine gamma-lyase,Q9I6A0,cytoplasm [GO:0005737]; carbon-sulfur lyase activity [GO:0016846]; cystathionine gamma-lyase activity [GO:0004123]; cystathionine gamma-synthase activity [GO:0003962]; pyridoxal phosphate binding [GO:0030170]; cysteine biosynthetic process via cystathionine [GO:0019343]; transsulfuration [GO:0019346],NA,COG0626,Methionine biosynthesis,"Glycine, serine and threonine metabolism, Biosynthesis of amino acids, Metabolic pathways, Cysteine and methionine metabolism, Selenocompound metabolism, Biosynthesis of secondary metabolites"
PA0401,,(RefSeq) dihydroorotase,Q51551,dihydroorotase activity [GO:0004151]; metal ion binding [GO:0046872]; pyrimidine nucleotide biosynthetic process [GO:0006221],NA,COG0044,Pyrimidine biosynthesis,"Pyrimidine metabolism, Biosynthesis of cofactors, Metabolic pathways"
PA0402,pyrB,(RefSeq) aspartate carbamoyltransferase,Q59653,cytoplasm [GO:0005737]; cytosol [GO:0005829]; amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; cellular amino acid metabolic process [GO:0006520]; nitrogen compound metabolic process [GO:0006807],NA,COG0540,Pyrimidine biosynthesis,"Biosynthesis of cofactors, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Pyrimidine metabolism"
PA0403,pyrR,(RefSeq) bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase,Q9X6W6,"uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG2065,Pyrimidine salvage,"Nucleotide metabolism, Pyrimidine metabolism, Metabolic pathways"
PA0404,NA,NA,Q9I699,cytoplasm [GO:0005737]; nuclease activity [GO:0004518]; rRNA 5'-end processing [GO:0000967],NA,COG0816,,NA
PA0405,NA,NA,Q9RQ16,cytosol [GO:0005829],NA,NA,NA,NA
PA0406,NA,NA,Q9I698,integral component of membrane [GO:0016021]; plasma membrane protein complex [GO:0098797]; energy transducer activity [GO:0031992]; transmembrane transport [GO:0055085],NA,COG0810,,NA
PA0407,gshB,(RefSeq) glutathione synthetase,Q9I697,"cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutathione synthase activity [GO:0004363]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; metal ion binding [GO:0046872]",NA,NA,NA,"Cysteine and methionine metabolism, Glutathione metabolism, Metabolic pathways, Biosynthesis of cofactors"
PA0408,pilG,(RefSeq) pilus biosynthesis/twitching motility protein PilG,P46384,phosphorelay signal transduction system [GO:0000160],NA,NA,NA,"Two-component system, Biofilm formation - Pseudomonas aeruginosa"
PA0409,pilH,(RefSeq) twitching motility protein PilH,P43501,phosphorelay signal transduction system [GO:0000160],NA,NA,NA,"Two-component system, Biofilm formation - Pseudomonas aeruginosa"
PA0410,pilI,(RefSeq) twitching motility protein PilI,P43502,cytosol [GO:0005829]; chemotaxis [GO:0006935]; signal transduction [GO:0007165],NA,NA,NA,"Two-component system, Biofilm formation - Pseudomonas aeruginosa"
PA0411,pilJ,(RefSeq) twitching motility protein PilJ,P42257,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane signaling receptor activity [GO:0004888]; chemotaxis [GO:0006935]; signal transduction [GO:0007165],NA,NA,NA,"Two-component system, Biofilm formation - Pseudomonas aeruginosa"
PA0412,pilK,(RefSeq) methyltransferase PilK,G3XCT5,protein-glutamate O-methyltransferase activity [GO:0008983],NA,COG1352,,Two-component system
PA0413,chpA,(RefSeq) chemotactic signal transduction system protein,Q9I696,cytoplasm [GO:0005737]; phosphorelay sensor kinase activity [GO:0000155]; chemotaxis [GO:0006935],NA,COG0643,,"Biofilm formation - Pseudomonas aeruginosa, Biofilm formation - Pseudomonas aeruginosa, Biofilm formation - Pseudomonas aeruginosa, Two-component system, Two-component system, Two-component system"
PA0413,chpA,(RefSeq) chemotactic signal transduction system protein,Q9I696,cytoplasm [GO:0005737]; phosphorelay sensor kinase activity [GO:0000155]; chemotaxis [GO:0006935],NA,COG0784,,"Biofilm formation - Pseudomonas aeruginosa, Two-component system"
PA0414,chpB,(RefSeq) methylesterase,G3XD63,cytoplasm [GO:0005737]; phosphorelay response regulator activity [GO:0000156]; protein-glutamate methylesterase activity [GO:0008984]; chemotaxis [GO:0006935],NA,COG2201,,Two-component system
PA0415,chpC,(RefSeq) chemotaxis protein,G3XD95,chemotaxis [GO:0006935]; signal transduction [GO:0007165],NA,NA,NA,"Two-component system, Biofilm formation - Pseudomonas aeruginosa"
PA0416,NA,NA,G3XCU1,DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],NA,COG2207,,NA
PA0417,NA,NA,O87005,integral component of plasma membrane [GO:0005887]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transport [GO:0006865],NA,COG1280,,NA
PA0418,NA,NA,Q9I695,NA,NA,NA,NA,NA
PA0419,NA,NA,Q9I694,cytoplasm [GO:0005737]; rRNA (uridine-N3-)-methyltransferase activity [GO:0070042]; rRNA base methylation [GO:0070475],NA,COG1385,16S rRNA modification,NA
PA0420,bioA,(RefSeq) adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA,Q9I693,cytoplasm [GO:0005737]; adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]; biotin biosynthetic process [GO:0009102],NA,NA,NA,"Biotin metabolism, Metabolic pathways, Biosynthesis of cofactors"
PA0421,,(RefSeq) hypothetical protein,Q9I692,oxidoreductase activity [GO:0016491],NA,COG1231,,"Tryptophan metabolism, Arginine and proline metabolism, Biosynthesis of secondary metabolites, Histidine metabolism, Glycine, serine and threonine metabolism, Tyrosine metabolism, Metabolic pathways, Phenylalanine metabolism"
PA0422,NA,NA,Q9I691,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; respiratory electron transport chain [GO:0022904],NA,NA,NA,NA
PA0423,NA,NA,Q9I690,extracellular space [GO:0005615]; periplasmic space [GO:0042597],NA,NA,NA,NA
PA0424,mexR,(RefSeq) multidrug resistance operon repressor MexR,P52003,"protein-DNA complex [GO:0032993]; DNA-binding transcription repressor activity [GO:0001217]; identical protein binding [GO:0042802]; transcription cis-regulatory region binding [GO:0000976]; negative regulation of protein secretion [GO:0050709]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transmembrane transport [GO:0034763]",NA,COG1846,,beta-Lactam resistance
PA0425,mexA,(RefSeq) multidrug resistance protein MexA,P52477,intrinsic component of plasma membrane [GO:0031226]; identical protein binding [GO:0042802]; transmembrane transporter activity [GO:0022857]; protein homooligomerization [GO:0051260]; response to antibiotic [GO:0046677],NA,NA,NA,"beta-Lactam resistance, Cationic antimicrobial peptide (CAMP) resistance"
PA0426,mexB,(RefSeq) multidrug resistance protein MexB,P52002,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; xenobiotic transmembrane transporter activity [GO:0042910]; response to antibiotic [GO:0046677],NA,NA,NA,"beta-Lactam resistance, Cationic antimicrobial peptide (CAMP) resistance"
PA0427,oprM,(RefSeq) outer membrane protein OprM,Q51487,cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; efflux transmembrane transporter activity [GO:0015562]; response to antibiotic [GO:0046677],NA,NA,NA,"beta-Lactam resistance, Quorum sensing"
PA0428,,(RefSeq) ATP-dependent RNA helicase,Q9I689,"cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]; bacterial-type flagellum-dependent swarming motility [GO:0071978]; ribosome assembly [GO:0042255]; single-species biofilm formation [GO:0044010]",NA,COG0513,,RNA degradation
PA0429,NA,NA,Q9I688,NA,NA,NA,NA,NA
PA0430,metF,"(RefSeq) 5,10-methylenetetrahydrofolate reductase",Q9I687,cytosol [GO:0005829]; FAD binding [GO:0071949]; methylenetetrahydrofolate reductase (NAD(P)H) activity [GO:0004489]; methylenetetrahydrofolate reductase NADH activity [GO:0106312]; methylenetetrahydrofolate reductase NADPH activity [GO:0106313]; methionine biosynthetic process [GO:0009086]; tetrahydrofolate interconversion [GO:0035999],NA,COG0685,,"Carbon metabolism, Metabolic pathways, One carbon pool by folate, Microbial metabolism in diverse environments"
PA0431,NA,NA,Q9I686,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity [GO:0008893]",NA,COG0317,,NA
PA0432,sahH,(RefSeq) adenosylhomocysteinase,Q9I685,cytosol [GO:0005829]; adenosylhomocysteinase activity [GO:0004013]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine cycle [GO:0033353],NA,COG0499,,"Metabolic pathways, Cysteine and methionine metabolism"
PA0433,NA,NA,Q9I684,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0434,NA,NA,Q9I683,cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]; iron ion homeostasis [GO:0055072],NA,NA,NA,NA
PA0435,NA,NA,Q9I682,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0436,NA,NA,Q9I681,"DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; negative regulation of transcription, DNA-templated [GO:0045892]; regulation of transcription, DNA-templated [GO:0006355]",NA,NA,NA,NA
PA0437,codA,(RefSeq) cytosine deaminase,Q9I680,"cytosine deaminase activity [GO:0004131]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines [GO:0016814]; isoguanine deaminase activity [GO:0035888]; cytosine catabolic process [GO:0006209]",NA,NA,NA,"Pyrimidine metabolism, Arginine and proline metabolism, Metabolic pathways, Nucleotide metabolism"
PA0438,NA,NA,Q9I679,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cytosine transmembrane transporter activity [GO:0015209]; cytosine transport [GO:0015856],NA,COG1457,,NA
PA0439,,(RefSeq) dihydropyrimidine dehydrogenase,Q9I678,"cytoplasm [GO:0005737]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; uracil binding [GO:0002058]; thymine catabolic process [GO:0006210]; uracil catabolic process [GO:0006212]",NA,COG1149,,"beta-Alanine metabolism, Pyrimidine metabolism, Metabolic pathways, Pantothenate and CoA biosynthesis"
PA0440,,(RefSeq) oxidoreductase,Q9I677,iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491],NA,COG0493,Glutamine biosynthesis,"beta-Alanine metabolism, Metabolic pathways, Pyrimidine metabolism, Pantothenate and CoA biosynthesis"
PA0441,dht,(RefSeq) D-hydantoinase/dihydropyrimidinase,Q9I676,cytoplasm [GO:0005737]; dihydropyrimidinase activity [GO:0004157]; metal ion binding [GO:0046872],NA,COG0044,Pyrimidine biosynthesis,"beta-Alanine metabolism, Metabolic pathways, Pyrimidine metabolism, Pantothenate and CoA biosynthesis"
PA0442,NA,NA,Q9I675,NA,NA,NA,NA,NA
PA0443,NA,NA,Q9I674,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; nucleobase transmembrane transporter activity [GO:0015205]; nucleobase transport [GO:0015851],NA,COG1953,,NA
PA0444,,(RefSeq) allantoate amidohydrolase,Q9I673,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines [GO:0016813]; metal ion binding [GO:0046872]",NA,COG0624,Arginine biosynthesis,"Metabolic pathways, Pyrimidine metabolism"
PA0445,NA,NA,Q9HI37,"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]",NA,COG3547,,NA
PA0446,NA,NA,Q9I672,catalytic activity [GO:0003824],NA,COG1804,,NA
PA0447,gcdH,(RefSeq) glutaryl-CoA dehydrogenase,Q9I671,fatty-acyl-CoA binding [GO:0000062]; flavin adenine dinucleotide binding [GO:0050660]; glutaryl-CoA dehydrogenase activity [GO:0004361]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; fatty-acyl-CoA biosynthetic process [GO:0046949],NA,COG1960,Fatty acid biosynthesis,"Biosynthesis of secondary metabolites, Fatty acid degradation, Tryptophan metabolism, Metabolic pathways, Lysine degradation, Microbial metabolism in diverse environments, Benzoate degradation"
PA0448,NA,NA,Q9I670,"DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription, DNA-templated [GO:0006351]",NA,COG0583,,NA
PA0449,NA,NA,Q9I669,cytosol [GO:0005829]; acyl-CoA hydrolase activity [GO:0047617]; long-chain fatty acyl-CoA binding [GO:0036042]; acyl-CoA metabolic process [GO:0006637]; fatty acid metabolic process [GO:0006631],NA,NA,NA,NA
PA0450,NA,NA,Q9I668,integral component of plasma membrane [GO:0005887]; inorganic phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transmembrane transport [GO:0035435],NA,COG0306,,NA
PA0451,NA,NA,Q9I667,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,COG1030,,NA
PA0452,NA,NA,Q9I666,plasma membrane [GO:0005886],NA,NA,NA,NA
PA0454,NA,NA,Q9I664,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085],NA,COG1289,,NA
PA0455,NA,NA,Q9I663,"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]",NA,COG0513,,NA
PA0456,NA,NA,Q9I662,cytosol [GO:0005829]; nucleic acid binding [GO:0003676]; regulation of gene expression [GO:0010468],NA,COG1278,,NA
PA0457,NA,NA,Q9I661,NA,NA,NA,NA,NA
PA0457.1,NA,NA,B5WWL1,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0458,NA,NA,Q9I660,integral component of plasma membrane [GO:0005887]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085],NA,COG2814,,NA
PA0459,NA,NA,Q9I659,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]; cellular response to heat [GO:0034605],NA,COG0542,,NA
PA0460,NA,NA,Q9I658,NA,NA,NA,NA,NA
PA0461,NA,NA,Q9I657,integral component of membrane [GO:0016021]; acyltransferase activity [GO:0016746],NA,NA,NA,NA
PA0463,creB,(RefSeq) DNA-binding response regulator CreB,Q9I655,cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976],NA,NA,NA,Two-component system
